epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3353.76,1.01309,0.91206,1.21507,0.84915,0.78249,0.83703,0.60046,1.04765,0.92469,1.29877,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3457.84,1.00404,0.91291,1.22111,0.81633,0.77187,0.82812,0.60041,1.09148,0.96673,1.36521,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3562.74,1.00202,0.90232,1.20864,0.84321,0.78519,0.8442,0.61382,1.11481,0.91092,1.39965,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3666.59,0.99648,0.90044,1.20766,0.85231,0.74117,0.83535,0.60726,1.1017,1.0288,1.39933,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3772.43,0.97523,0.88398,1.19492,0.86004,0.76844,0.84897,0.61613,1.0786,0.88217,1.35449,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3878.61,0.98412,0.87004,1.19541,0.83702,0.78824,0.85047,0.61808,1.07958,0.90943,1.35022,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3983.75,0.98035,0.86863,1.19687,0.8507,0.75887,0.8341,0.61113,1.06923,0.91485,1.35294,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4088.37,0.97453,0.86699,1.19376,0.83689,0.79313,0.84777,0.61475,1.06051,0.8843,1.31734,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4193.95,0.96054,0.83871,1.18159,0.84606,0.76385,0.84105,0.62229,1.05326,0.89663,1.33424,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4300.26,0.94769,0.82871,1.17456,0.8661,0.76946,0.84508,0.62726,1.05842,0.91134,1.32246,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4405.74,0.94618,0.8172,1.17351,0.8365,0.78382,0.8449,0.62485,1.05765,0.83433,1.3501,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4509.95,0.94701,0.82636,1.17297,0.85847,0.77876,0.85157,0.62839,1.05353,0.82214,1.33866,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4615.17,0.92977,0.79367,1.15893,0.85973,0.80212,0.8578,0.63188,1.0522,0.87864,1.35379,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4719.98,0.93644,0.81212,1.16377,0.86926,0.79355,0.86374,0.63947,1.03473,0.86833,1.31045,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4823.15,0.92221,0.78946,1.16522,0.85467,0.79175,0.85213,0.63494,1.03592,0.81775,1.32027,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4927.46,0.91097,0.78038,1.15516,0.86883,0.79303,0.85575,0.63006,1.05241,0.83558,1.35303,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5031.36,0.91645,0.79419,1.15402,0.86308,0.78912,0.85104,0.63385,1.04433,0.83343,1.3498,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5135.8,0.90916,0.78083,1.15109,0.87809,0.76321,0.84751,0.62858,1.0621,0.82081,1.36026,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5239.59,0.91456,0.77238,1.15731,0.89208,0.79203,0.8665,0.64432,1.04757,0.81667,1.35083,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5344.05,0.89389,0.76188,1.1416,0.88048,0.77815,0.85453,0.6345,1.04139,0.78883,1.33448,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5449.44,0.88844,0.74469,1.13314,0.86487,0.79357,0.85862,0.63618,1.03868,0.78771,1.33211,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5552.35,0.88288,0.72906,1.12667,0.87041,0.80209,0.85174,0.6349,1.04791,0.80081,1.35912,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5657.99,0.87253,0.73018,1.12994,0.86705,0.79684,0.8512,0.63545,1.0353,0.77725,1.33687,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5762.23,0.87638,0.72189,1.12512,0.8451,0.80529,0.85591,0.63803,0.99899,0.85513,1.28915,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5867.26,0.8661,0.72225,1.12387,0.87391,0.7925,0.8575,0.63831,1.04155,0.7993,1.33522,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5973.95,0.86317,0.71124,1.12137,0.88681,0.80186,0.86514,0.63959,1.04135,0.77089,1.36662,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6078.46,0.8434,0.69472,1.10473,0.8676,0.80021,0.85896,0.63811,1.0404,0.77139,1.36693,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6182.79,0.85896,0.69881,1.12114,0.88005,0.7982,0.86484,0.64636,1.02504,0.7389,1.3148,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6287.79,0.85012,0.69808,1.11072,0.87883,0.80873,0.86329,0.6427,1.03518,0.76412,1.32213,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6393.28,0.84597,0.68026,1.10893,0.87598,0.80366,0.86588,0.65365,1.01228,0.76454,1.29064,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6497.97,0.83567,0.68274,1.10389,0.89716,0.79256,0.8662,0.6527,1.01329,0.76256,1.29419,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6601.98,0.83458,0.67961,1.1026,0.8865,0.78914,0.86644,0.65136,0.98013,0.77311,1.25268,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6706.18,0.82345,0.66856,1.09973,0.89049,0.79775,0.86876,0.6555,0.99388,0.78063,1.27634,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6809.77,0.81956,0.66632,1.09625,0.91678,0.77608,0.86397,0.64957,1.00741,0.77871,1.31128,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6913.6,0.81168,0.64997,1.09053,0.89164,0.78831,0.85994,0.64697,0.99805,0.76808,1.28147,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7020.56,0.80944,0.64183,1.08356,0.87943,0.80397,0.86402,0.64915,1.00143,0.74822,1.29861,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7123.21,0.80374,0.64126,1.08888,0.90012,0.79397,0.86304,0.64707,1.02391,0.74135,1.32947,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7228.52,0.80602,0.64066,1.08721,0.87769,0.81656,0.86403,0.64756,1.0149,0.73831,1.32288,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7335.05,0.79811,0.63314,1.08448,0.88565,0.80271,0.86301,0.64821,1.01316,0.73353,1.29696,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7439.77,0.78596,0.62276,1.0742,0.86001,0.80747,0.86116,0.64982,1.01296,0.72923,1.31648,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7543.49,0.80681,0.6333,1.08642,0.90057,0.78844,0.85459,0.64373,1.0044,0.74032,1.29453,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7650.71,0.77814,0.62528,1.07286,0.90252,0.79246,0.86354,0.65123,0.99075,0.74129,1.28426,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7755.7,0.77678,0.61521,1.07252,0.88259,0.80636,0.85806,0.64535,1.00044,0.73529,1.30061,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
