epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9316.65,0.885,0.75802,1.21057,0.86076,0.77785,0.84778,0.62961,0.968,0.98538,1.30952,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9605.31,0.8681,0.74303,1.19932,0.86051,0.7961,0.85973,0.63606,0.98805,0.96726,1.36174,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9894.02,0.86609,0.74521,1.19828,0.85798,0.80819,0.85823,0.63805,0.97036,0.96305,1.29725,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10182.5,0.8528,0.73483,1.18391,0.8818,0.78558,0.86675,0.64198,0.96791,0.95692,1.2976,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,10471.2,0.8485,0.71313,1.18769,0.86544,0.79405,0.85982,0.63907,0.95569,0.92619,1.28221,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,10759.9,0.82234,0.69997,1.16656,0.87948,0.79232,0.8633,0.64974,0.94599,1.06474,1.2898,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,11050.9,0.84005,0.69983,1.17581,0.8781,0.79009,0.86149,0.63708,0.95733,0.87592,1.3006,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,11340.7,0.81245,0.68405,1.15974,0.85705,0.79734,0.86194,0.64065,0.97364,0.88928,1.32151,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,11631.1,0.81261,0.66525,1.16148,0.89111,0.77973,0.85799,0.63408,0.98024,0.84652,1.32526,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,11920.5,0.7995,0.66322,1.15293,0.86801,0.81603,0.87448,0.65289,0.95958,0.83973,1.30028,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12211,0.78911,0.64887,1.1478,0.88689,0.78348,0.8643,0.65084,0.92712,0.84411,1.26642,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,12502.1,0.78487,0.64163,1.13986,0.90278,0.78544,0.86167,0.6379,0.9754,0.96851,1.33237,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,12791.7,0.77615,0.63014,1.13409,0.85711,0.7886,0.84928,0.63327,0.968,0.93918,1.32263,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,13081.3,0.76324,0.62262,1.12858,0.88357,0.79064,0.85916,0.64186,0.93604,0.90181,1.28358,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,13371.4,0.75903,0.61616,1.13115,0.86906,0.80873,0.86822,0.65119,0.92682,0.81352,1.28353,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,13661.9,0.74819,0.5948,1.11709,0.89205,0.78326,0.87327,0.65624,0.93031,0.8148,1.28196,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,13951.2,0.76105,0.60867,1.13067,0.86916,0.80741,0.8695,0.65587,0.9202,0.85647,1.2801,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,14241,0.75119,0.61167,1.11925,0.87061,0.79879,0.86516,0.65363,0.91628,0.86036,1.28466,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,14530.1,0.73858,0.58053,1.11299,0.86017,0.81352,0.86963,0.65071,0.95119,0.84815,1.30632,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,14819.3,0.72565,0.57026,1.10269,0.87596,0.79616,0.86289,0.65842,0.91663,0.79396,1.28684,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,15109.5,0.7178,0.56784,1.09594,0.86913,0.81806,0.86959,0.65566,0.93427,0.79221,1.30653,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15398.7,0.70887,0.55258,1.08817,0.87736,0.80008,0.8585,0.64756,0.93552,0.84334,1.2962,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,15689.6,0.71006,0.55468,1.09119,0.8644,0.80537,0.8625,0.65071,0.93615,0.89951,1.2906,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,15979.5,0.69558,0.54812,1.08697,0.8613,0.8223,0.86287,0.65257,0.9092,0.7981,1.2772,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
