epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4665.6,0.90137,0.7473,1.15198,0.8351,0.81002,0.85288,0.62341,1.00805,0.93358,1.27817,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4810.03,0.89353,0.74263,1.15037,0.83209,0.78699,0.85169,0.62285,1.06654,0.84156,1.335,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4954.69,0.8907,0.73476,1.14344,0.86961,0.78027,0.85139,0.62134,1.01863,0.87004,1.29362,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5102.79,0.88026,0.72473,1.13967,0.85408,0.77683,0.85216,0.63028,0.99256,0.84692,1.26972,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5253.75,0.86291,0.71324,1.12834,0.86003,0.8064,0.85835,0.63267,0.96418,0.77518,1.24939,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5405.24,0.86946,0.70895,1.12505,0.86867,0.7961,0.852,0.6238,1.00924,0.90932,1.27041,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5556.87,0.8634,0.70059,1.1281,0.85863,0.8014,0.86063,0.6344,1.06161,0.9599,1.31273,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5708.14,0.85307,0.68413,1.11922,0.85576,0.79436,0.85837,0.63545,0.98835,0.77867,1.24277,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,5859.03,0.8388,0.66369,1.11097,0.81737,0.82523,0.85435,0.62825,1.05902,0.8037,1.37281,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6004.87,0.827,0.66321,1.10214,0.83674,0.8117,0.85507,0.63388,1.03946,0.82943,1.34471,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6149.91,0.82793,0.65549,1.10379,0.85653,0.80208,0.85681,0.64067,1.01618,0.7822,1.29736,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6294.55,0.818,0.647,1.09918,0.88417,0.77797,0.85836,0.63857,1.01099,0.8115,1.29913,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
